"RECORD","FC_mass","FC_QC","FC_samples","LE","LE_QC","LE_samples","H","H_QC","H_samples","NETRAD","energy_closure","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","e","e_sat","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","e_probe","e_sat_probe","H2O_density_probe","PA","VPD","Ux","Ux_SIGMA","Uy","Uy_SIGMA","Uz","Uz_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","P","ALB","SW_IN","SW_OUT","LW_IN","LW_OUT","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","TS_1_1_1","G_plate_1_1_1","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","UPWND_DIST_INTRST","FP_DIST_INTRST","T_nr","R_LW_in_meas","R_LW_out_meas"
1742,0.06380886,7,18000,11.74871,7,18000,-19.00418,7,18000,NA,1,-1.617555,0.01479652,9,0.1059063,0.1354807,0.3669662,21.38351,38.68182,6.730285,0.9878258,2.556685,21.87532,37.67005,6.754393,0.9894007,2.636124,-42.56314,0.3257983,-97.54854,5.167494e-05,0.01558459,0.0004825728,87.28228,16.46723,-0.2278418,0.5062894,-0.1693166,0.681186,0.0006792813,0.1165725,22.94489,0.7110619,249,0.8343595,0.2838672,216.6174,65.79366,32.38257,2.2243,680.9932,7.903521,7.267522,0.2945479,0.9058495,0.8951169,0,0,NA,NA,NA,NA,325.1839,-19.945,144.919,20.92878,NA,0,20.04532,13.13602,0.6445076,18.04045,3.646943,1.872243,95.67381,97.6734,NA,NA,NA
1743,-0.3294169,8,18000,-4.720234,8,18000,16.09574,8,18000,NA,1,-3.409944,0.02747818,4,0.1426008,-0.08319765,0.2229185,20.5873,40.01257,6.476145,0.9722015,2.435567,21.32831,38.57926,6.512233,0.9744451,2.555544,-48.01611,0.322309,-100.5317,2.633784e-05,0.008188584,0.0002532157,87.30541,15.81099,-0.6108605,0.5202909,0.556115,0.3961928,-0.03415711,0.1347805,22.37921,1.376625,249,0.934688,0.8260831,137.686,27.61065,111.314,3.804455,691.3411,24.58095,7.172104,0.5255058,0.8037775,0.7709828,0,0,NA,NA,NA,NA,332.1621,-22.95323,152.5811,20.925,NA,0,20.0806,13.22964,3.524957,45.04951,10.35689,6.797928,95.67381,95.75757,NA,NA,NA
1744,0.2039161,4,18000,21.01311,3,18000,-35.46998,3,18000,NA,1,-1.687993,0.02118391,3,0.1258916,0.2099509,0.1131739,20.019,40.72814,6.264615,0.9565058,2.350009,20.31132,40.10179,6.278933,0.9574083,2.394303,-45.50791,0.3188086,-99.25257,3.411925e-05,0.01067096,0.0003246875,87.32521,14.36895,-0.7582347,0.3486962,0.5618485,0.2920787,-0.04576625,0.139459,21.34016,0.6323268,249,0.9842393,0.943713,143.4618,16.43625,105.5382,2.807006,701.5093,9.218774,7.069851,0.2559916,0.921777,0.8942606,0,0,NA,NA,NA,NA,339.4023,-25.27743,160.081,20.92133,NA,0,20.08552,13.26821,4.286429,156.0763,18.87528,11.68908,95.67381,85.51501,NA,NA,NA
1745,0.0777036,7,18000,16.05226,7,18000,-12.11442,7,18000,NA,1,-0.7546862,0.01310329,7,0.09838886,0.09060128,0.1497481,18.63112,48.90662,7.646027,1.052518,2.155813,19.02762,47.84133,7.66582,1.053899,2.210964,-48.36917,0.3197864,-100.7642,2.508024e-05,0.007795136,0.0002416261,87.32083,11.57065,-0.634975,0.3302864,0.2597513,0.4211882,-0.03293049,0.1140511,20.15571,0.6264399,249,0.8029643,0.6860508,157.7519,30.90788,91.24805,2.339648,735.1615,14.02807,7.816844,0.4501978,0.9056935,0.8777642,0,0,NA,NA,NA,NA,346.9844,-26.91679,167.5802,20.91754,NA,0,20.08155,13.29256,3.860312,125.1366,16.4095,10.20235,95.67381,87.6427,NA,NA,NA
1746,0.2412811,7,18000,24.24319,7,18000,-39.77577,7,18000,NA,1,-1.640698,0.02522796,7,0.1358476,0.2133315,0.1085753,19.40138,47.60283,7.886697,1.069574,2.267385,20.40664,44.94961,7.936936,1.073194,2.414394,-50.57062,0.3173727,-101.8691,1.948322e-05,0.00620024,0.0001893482,87.31828,13.412,-0.9179775,0.3419678,-0.2170094,0.2787124,-0.05701219,0.1500933,21.56081,1.341196,249,0.9889692,0.9432792,193.3005,17.41022,55.69946,2.604259,720.5907,25.38986,7.923563,0.4110715,0.9083585,0.8805736,0,0,NA,NA,NA,NA,354.8051,-27.81576,175.0798,20.91379,NA,0,20.08377,13.18905,3.797315,131.299,16.55773,10.24581,95.67381,87.23037,NA,NA,NA
1747,0.02310596,7,18000,6.897994,7,18000,-17.47521,7,18000,NA,1,-2.533376,0.01523355,7,0.1062469,0.1213959,0.08469847,20.81834,43.42777,7.904193,1.07107,2.469074,21.37233,42.13709,7.931676,1.073007,2.555922,-47.7228,0.3133261,-100.4345,2.701227e-05,0.008552151,0.0002590366,87.2999,14.82915,-0.82472,0.2734666,-0.2924055,0.2855947,-0.05098544,0.1142306,22.53046,0.6370881,249,0.9119166,0.8750229,199.522,16.29234,49.47797,2.178013,713.6213,16.46678,7.895236,0.4299406,0.9136919,0.8865699,0,0,NA,NA,NA,NA,59.12706,-27.94126,-121.0202,20.91015,NA,0,20.05157,12.9288,4.991668,176.0508,21.79531,13.41006,95.67381,84.07806,NA,NA,NA
1748,0.3470294,9,18000,19.89958,9,18000,-26.3764,9,18000,NA,1,-1.325475,0.008836823,9,0.08012509,0.2382068,0.05140845,20.61683,43.18032,7.634428,1.051709,2.438854,21.61151,40.88366,7.683707,1.055154,2.595083,-52.16061,0.314268,-102.813,1.585734e-05,0.005034111,0.0001554532,87.29829,15.3993,-0.9183664,0.2378981,-0.6288061,0.1996425,-0.08117949,0.07977645,22.7512,0.8539553,249,1.131976,1.113009,214.3995,10.48467,34.60046,1.979147,754.1951,23.25157,7.757845,0.4441179,0.9159586,0.8877438,0,0,NA,NA,NA,NA,10.59616,-27.2888,-169.9209,20.90635,NA,0,20.09544,12.59441,12.19322,630.7606,61.99517,36.09769,95.67381,65.2019,NA,NA,NA
1749,1.142269,9,18000,30.81851,9,18000,-62.55462,9,18000,NA,1,-2.029774,0.01357526,9,0.09958936,0.4570782,0.1308763,20.68992,40.88005,6.878685,1.000123,2.450892,21.86876,38.54453,6.936223,1.003778,2.642935,-50.89366,0.3164875,-102.2354,1.86225e-05,0.005868914,0.0001814187,87.30568,16.39157,-0.600941,0.2824,-0.6428069,0.4179209,-0.03366873,0.08570231,22.95333,1.471914,249,0.9433036,0.8799611,226.9279,20.98974,22.07205,2.306242,750.6871,39.57671,7.375319,0.5944944,0.9181316,0.889622,0,0,NA,NA,NA,NA,18.269,-25.88254,-162.4215,20.90257,NA,0,20.09834,12.21582,5.823584,249.942,27.42777,16.45304,95.67381,80.13541,NA,NA,NA
1750,-0.04616906,9,18000,-7.404569,9,18000,6.493578,9,18000,NA,1,-0.876969,0.00510521,6,0.0607199,-0.07692503,0.07429922,21.02424,40.68127,7.05756,1.013888,2.501824,22.05928,38.72356,7.107947,1.017057,2.674255,-53.477,0.3170974,-103.6218,1.371144e-05,0.004312458,0.0001352216,87.29784,16.57198,-0.6115004,0.2249439,-0.340311,0.3087272,-0.03554438,0.05182869,23.15895,1.484116,249,0.7449858,0.6998175,209.0968,19.9447,39.9032,1.697927,749.8632,42.45568,7.46917,0.7469905,0.9188054,0.8904763,0,0,NA,NA,NA,NA,25.62975,-23.77123,-154.9212,20.89895,NA,0,20.12695,11.79384,8.594351,70.33278,20.1819,14.37946,95.67381,93.44521,NA,NA,NA
1751,-0.2859104,9,18000,-4.762296,9,18000,0.5002988,9,18000,NA,1,-0.1050541,0.01276867,7,0.09577395,-0.00373764,0.1403768,20.152,43.14388,7.198325,1.021722,2.36971,21.44464,40.19804,7.262141,1.02603,2.56868,-54.63662,0.3152602,-104.2807,1.184592e-05,0.003753437,0.0001174589,87.29822,15.42649,-0.5114589,0.1247541,0.2359475,0.5135298,-0.03897594,0.03843392,22.55203,0.8329245,249,0.7504135,0.5632582,155.2349,40.45161,93.76508,1.157298,779.8839,32.76023,7.548358,0.5437613,0.9171646,0.8887545,0,0,NA,NA,NA,NA,32.60043,-21.02208,-147.4218,20.89515,NA,0,20.12545,11.33809,3.450541,63.39975,11.58484,7.469585,95.67381,93.29525,NA,NA,NA
