SampleID,Visit,Category,WaterPotential_MPa,Tin_wt,other tin wt?,Wet_wt,Dry_wt,% Moisture,Total N,Total C,C/N Ratio,OM- crucible wt,OM- before,OM- after,"OM, % LOI",pH,EC original read,EC dilution,EC,NH4,NO3,P
1,A,Native,-0.04,1.0402,,30.097,8.8136,273.8,1.451,23.746,16.3657,21.1622,24.3176,23.3564,30.5,8.048,0.5306,1:10,2.653,8.6462,0.3274,19.09
2,A,Untreated,-0.47,1.0281,,14.2182,9.3846,57.8,0.994,18.119,18.2191,21.6432,24.6601,24.1314,17.5,7.452,1.581,,1.581,7.7237,8.8164,25.87
3,A,Native,-0.15,1.0466,,40.0678,26.6092,52.6,0.266,3.829,14.3957,20.7055,23.941,23.7842,4.8,7.824,3.933,,3.933,7.9404,0.5211,8.09
4,A,Untreated,-0.1,1.0546,,35.8195,16.8335,120.3,0.557,8.809,15.804,17.7528,20.6049,20.2674,11.8,7.574,7.028,,7.028,8.2932,0.1476,17.57
5,A,Native,-0.42,1.0481,,14.7391,9.1853,68.3,1.115,21.614,19.3838,17.2844,20.2872,19.7114,19.2,7.405,3.167,,3.167,4.6316,16.2559,15.09
6,A,Native,-0.01,1.0546,,11.139,4.3309,207.8,1.784,30.625,17.1661,21.1705,24.1238,23.2625,29.2,7.772,1.25,1:10,6.25,5.5501,27.7339,18.93
7,A,Untreated,-0.9,1.0475,,20.5104,18.4892,11.6,0.223,6.689,29.9534,20.7034,23.849,23.7274,3.9,8.121,1.164,,1.164,3.9626,4.0185,49.02
8,A,Native,-0.33,1.053,,12.3722,5.5513,151.6,1.559,26.254,16.8421,19.878,22.7032,21.8682,29.6,7.56,1.295,1:10,6.475,5.9621,23.2663,37.6
9,A,Treated,-0.01,1.0588,,27.3393,14.9714,88.9,0.872,13.355,15.3171,20.4877,23.5502,23.0587,16,7.596,1.298,,1.298,10.0926,3.4324,47.7
10,A,Native,0.4,1.0642,,12.1978,4.4404,229.8,1.445,21.378,14.7937,21.2551,24.3424,23.5156,26.8,7.929,0.5949,1:10,2.975,10.6196,3.9821,46.79
11,A,Treated,-0.15,1.0623,,18.3367,4.6331,383.8,2.338,34.109,14.5867,21.9764,24.2239,23.0865,50.6,7.28,0.8517,1:10,4.259,8.528,3.7623,45.9
12,A,Native,-0.04,1.0586,,28.8879,5.6743,502.9,1.753,27.559,15.7182,19.2261,21.3375,20.484,40.4,7.271,1.041,1:10,5.205,7.7992,0.2377,89.15
