sample,Site,Visit,Category,treatment.status,WaterPotential_MPa,PercentMoisture,Total.N,Total.C,CN.ratio,OM.LOI,pH,EC,NH4,NO3,P,meanDepth,meanSPC,waterpH,meanORP,Phrag Present,NoSpecies_1,DomSpecies_1,Listspecies_1,NoSpecies_2,DomSpecies_2,Listspecies_2,NoSpecies_3,DomSpecies_3,Listspecies_3,NoSpecies_4,DomSpecies_4,Listspecies_4,NoSpecies_5,DomSpecies_5,Listspecies_5,MeanSpecies,mean.canopy,mean.stem.density,lat,long,Location,Area,plotID,year.last.treatment,treatment.2021,herbicide.2021,num_treatments,num_phrag_total,percent.phrag,num_phrag_per,phrag.present,isimpaired,algal.growth,cause.unk.impaired.biota,metals.other.hg,nutrients,oxygen.depletion,pathogens,polychlorinated.biphenyls,solids.chlorides.sulfates,temperatur,unimpaired,mean.orp,mean.orp.10,mean.orp.20,mean.do.mg,mean.do.percent,mean.depth,mean.mulch,mean.temp,np.ratio,sp.richness,treatment.2021,soil.salinity,nanodrop.dna,Al1670,As1890,B_2497,Ba4554,Ca3179,Cd2265,Co2286,Cr2835,Cu3247,Fe2382,K_7664,Mg2852,Mn2576,Mo2020,Na5895,Ni2316,P_1782,Pb2203,S_1820,Se1960,Si2516,Sr4077,Ti3088,V_3093,Zn2138
1A,1,A,Native,Untreated,-0.04,273.8,1.451,23.746,16.3657,30.5,8.048,2.653,8.6462,0.3274,19.09,-16,1146.5,7.16,-155.5,No,1,thistle,thistle,,?,?,0,none,none,,?,?,0,none,none,NA,6.6,10.8,40.38164,-111.82273,AF1,Great Salt Lake,,NA,Native,N,NA,0,0,0,N,Y, , ,Meeting Criteria, ,Cause,Cause, , ,Cause,,,-3,-54,0.45,5.4,-16,15.8,14.95,168.079075,2,NA,Brackish,645.3,8.534,0.0461,0.1707,0.6725,512.4,0.0068,0.0082,0.0603,0.1006,20.78,2.766,46.78,0.788,0.0095,1.773,0.0234,3.743,0.2279,19.59,0.0335,3.864,2.724,0.3937,0.1155,0.3042
2A,2,A,Untreated,Untreated,-0.47,57.8,0.994,18.119,18.2191,17.5,7.452,1.581,7.7237,8.8164,25.87,-30,NA,NA,NA,Yes,3,phragmites,"phragmites, thistle, ?",2,thistle,"phragmites, thistle",3,thistle,"phragmites, thistle, ?",2,phragmites,"phragmites, thistle",2,thistle,"phragmites, thistle",2.4,31,14.2,40.38318,-111.82105,AF1,Great Salt Lake,,NA,Untreated,N,NA,11,73.3,2,Y,Y, , ,Meeting Criteria, ,Cause,Cause, , ,Cause,,,,,NA,NA,-30,9.6,NA,84.96540288,3,NA,Brackish,213.3,9.17,0.0316,0.1384,0.5079,575.7,0.0038,0.0104,0.06,0.0856,27.62,5.221,57.47,1.215,0.0101,1.131,0.0292,3.711,0.1352,12.66,0.0159,4.269,2.797,0.4249,0.1354,0.3083
3A,3,A,Treated,Treated,-0.15,52.6,0.266,3.829,14.3957,4.8,7.824,3.933,7.9404,0.5211,8.09,-30,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,57,65.6,40.38325,-111.9028,Jordan Willows Park,Great Salt Lake,,,,N,,15,100,5,Y,Y, , ,Cause, , , , ,Cause, ,,,96.8,120.8,NA,NA,-30,1.9,NA,72.70851595,1,NA,Brackish,66.5,36.13,0.026,0.1139,0.6584,175,0.0062,0.0279,0.1409,0.0876,58.49,12.69,41.12,0.5157,0.0079,10.94,0.0822,2.141,0.0778,7.856,0.0106,6.675,1.06,1.885,0.1709,0.231
4A,4,A,Untreated,Untreated,-0.1,120.3,0.557,8.809,15.804,11.8,7.574,7.028,8.2932,0.1476,17.57,13.8,811.25,7.4975,67.5,Yes,4,?,?,2,phragmites,"phragmites, ?",3,?,"stinging nettle, phragmites, ?",2,?,"phragmites, ?",3,?,"phragmites, ?",2.8,44.2,113.8,40.39975,-111.81731,Mitchell Hollow AF,Great Salt Lake,,NA,Untreated,N,NA,6,40,1,Y,Y, , ,Meeting Criteria, ,Cause,Cause, , ,Cause,,,-66.4,-140,4.43,38.7,13.8,6.8,13.575,70.10283784,3,NA,Saline,778.4,14.93,0.0438,0.0677,0.4272,299.9,0.0044,0.0108,0.0902,0.0584,33.11,4.138,45.21,2.635,0.0037,0.8941,0.0258,3.439,0.101,4.089,0.0123,5.873,0.9004,0.9425,0.1281,0.2763
5A,5,A,Native,Untreated,-0.42,68.3,1.115,21.614,19.3838,19.2,7.405,3.167,4.6316,16.2559,15.09,-30,NA,NA,NA,No,3,?,?,2,?,?,3,?,?,2,stinging nettle,"stinging nettle, ?",2,?,?,2.4,30.4,38.6,40.36545,-111.80767,AF2,Great Salt Lake,,NA,Native,N,NA,0,0,0,N, ,,,,,,,,,,,,361.4,262.6,NA,NA,-30,7.8,NA,163.3946352,2,NA,Brackish,726.3,4.548,0.0466,0.129,0.9025,845.6,0.0044,0.0032,0.0452,0.0775,18.12,2.194,36.03,1.612,0.006,1.983,0.0041,2.369,0.1882,18.97,0.0054,3.647,3.234,0.245,0.0807,0.2405
6A,6,A,Native,Untreated,-0.01,207.8,1.784,30.625,17.1661,29.2,7.772,6.25,5.5501,27.7339,18.93,-30,NA,NA,NA,No,1,?,?,3,?,?,2,?,?,2,?,?,1,?,?,1.8,36.6,22.4,40.36442,-111.80884,AF2,Great Salt Lake,,NA,Native,N,NA,0,0,0,N, ,,,,,,,,,,,,259.8,303.2,NA,NA,-30,12.4,NA,208.3993699,1,NA,Saline,643.6,5.33,0.0456,0.1497,0.8208,588.9,0.0053,0.0029,0.065,0.1225,18.21,2.318,31.37,0.6655,0.0061,2.588,0.0111,2.333,0.2786,22.65,0.0066,3.66,2.442,0.3189,0.0827,0.3235
7A,7,A,Untreated,Untreated,-0.9,11.6,0.223,6.689,29.9534,3.9,8.121,1.164,3.9626,4.0185,49.02,-30,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,187,15.2,40.37913,-111.90814,Jordan River Trail,Great Salt Lake,,NA,Untreated,N,NA,15,100,5,Y,Y, , ,Cause, , , , ,Cause, ,,,401,324.8,NA,NA,-30,8.4,NA,10.0596697,1,NA,Fresh,118.5,14.15,0.0222,0.1412,0.3273,403.2,0.0028,0.0089,0.0545,0.053,21.59,8.106,87.81,0.7747,0.0021,1.481,0.0227,3.716,0.0648,2.427,-0.008,4.546,1.53,0.7124,0.189,0.1739
8A,8,A,Native,Untreated,-0.33,151.6,1.559,26.254,16.8421,29.6,7.56,6.475,5.9621,23.2663,37.6,-30,NA,NA,NA,No,1,?,?,1,stinging nettle,stinging nettle,2,?,"stinging nettle, ?",1,stinging nettle,stinging nettle,1,stinging nettle,stinging nettle,1.2,22.6,34.8,40.36619,-111.81018,AF2,Great Salt Lake,,NA,Native,N,NA,0,0,0,N, , , , , , , , , , ,,,233.6,224.4,NA,NA,-30,10.4,NA,91.68756427,2,NA,Saline,1312.3,4.698,0.0461,0.1472,0.887,653.1,0.0045,0.0048,0.055,0.083,26.65,3.456,24.78,0.7875,0.0131,2.252,0.0121,3.265,0.1698,30.09,0.0121,3.531,2.227,0.2309,0.0661,0.259
9A,9,A,Treated,Treated,-0.01,88.9,0.872,13.355,15.3171,16,7.596,1.298,10.0926,3.4324,47.7,-19.6,750,6.67,-267.4,Yes,4,,,1,phragmites,phragmites,1,phragmites,phtragmites,1,,,1,phragmites,phragmites,1.6,27.8,12.2,40.27503,-111.74237,Powell Slough,Utah Lake,UL1,2021,Mow + Seed,N,3,4,26.7,3,Y,Y, , , , ,Cause, , , , ,,,38,,0.17,2,-19.6,8,14.6,40.42502259,1,Mow + Seed,Fresh,461.3,15.9,0.0426,0.1908,0.6933,382.8,0.0059,0.0106,0.092,0.1578,29.7,8.221,89.03,1.114,0.0018,2.082,0.0458,6.447,0.1563,9.873,0.0195,4.235,2.179,0.7572,0.2367,0.4466
10A,10,A,Native,Untreated,0.4,229.8,1.445,21.378,14.7937,26.8,7.929,2.975,10.6196,3.9821,46.79,-25.8,1484,6.61,-125.9,No,4,stinging nettle,"stinging nettle, thistle, cattail, swamp milkweed, ?",2,stinging nettle,"stinging nettle, ?",2,stinging nettle,"stinging nettle, ?",3,stinging nettle,"swamp milkweed, cattail, stinging nettle",3,stinging nettle,"stinging nettle, cattail, milkweed",2.8,19.8,20.2,40.27469,-111.74263,Powell Slough,Utah Lake,,,Trample,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,,141.6,133.4,1.26,14.5,-25.8,8.5,11.2,68.29154958,5,Trample,Brackish,95.9,9.808,0.0464,0.1811,0.8849,533,0.0063,0.008,0.1045,0.2117,24.96,4.017,37.63,0.6008,0.0065,2.126,0.0483,5.366,0.2261,18.36,0.0186,4.273,2.089,0.4317,0.1359,0.5966
